Product Name,Product URL,Product Price,Rating,Review Count,Description,ASIN,Product Description,Manufacturer
"SKYTONE 12cms Large Capacity Cosmetic Travel Bag, Women's Makeup Travel Bag Portable Leather Cosmetics Bag, Makeup Storage Bags with Handle and Divider, Wide Opening Cosmetic/Makeup Organizer (L_Pink)",https://www.amazon.in/SKYTONE-Cosmetic-Bag-Cosmetics-Organizer/dp/B0BV358QKF,₹749,4.0,212,N/A,N/A,N/A,N/A
"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QL8633G,₹929,4.0,"1,069",N/A,N/A,N/A,N/A
Aristrocrat Unisex Laptop Bag Grey One Size,https://www.amazon.in/Aristocrat-Zeal-Unisex-Grey-Laptop/dp/B0B5YHC1W5,₹799,4.2,27,N/A,N/A,N/A,N/A
"Genie Miami Laptop Backpack for Women, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College",https://www.amazon.in/Genie-Miami-litres-Casual-Backpack/dp/B07SRGGGNC,₹799,4.2,"1,436","Outer Material : Nylon, Color: Pink, Water Resistant      Dimensions: 29.5x41.5x14.5 cm (LxWxH), Capacity: 18 Litres, Number of compartments: 1, Laptop Compatibility: Yes, Laptop Size: 15.6 inch      Warranty: 12 months manufacturer warranty, Weight: 405 gms      Quick Access Front Pocket, One side Pocket, Fully Lined      Feather Light",N/A,"Elevate your fashion quotient with Genie Miami Rose backpack.It has a spacious padded laptop compartment and a front pocket for easy access. This fun, young and vibrant backpack is made up of Nylon Twill, making it perfect for daily use.",Visit the Genie Store
AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,https://www.amazon.in/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79,₹699,4.2,600,N/A,N/A,N/A,N/A
Baggit Women's Sling Bag - Small,https://www.amazon.in/Baggit-Womens-Sling-Bag-Yellow/dp/B0C1NZ1PW7,₹689,4.3,"2,588",N/A,N/A,N/A,N/A
"Tabelito® NEXA 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook. (GREY)",https://www.amazon.in/Tabelito-NEXA-Backpack-Business-Compartment/dp/B0C2D3YR7T,₹399,4.7,59,N/A,N/A,N/A,N/A
"HAMMONDS FLYCATCHER Genuine Leather Laptop Bag for Men - Office Bag, Brown Color - Fits Up to 14/15.6/16 Inch Laptop/MacBook - Laptop Messenger Bags/Leather Bag for Men with Adjustable Shoulder Strap",https://www.amazon.in/HAMMONDS-FLYCATCHER-Genuine-Shoulder-Messenger/dp/B07P2TQH78,"₹2,623",4.3,"4,945",N/A,N/A,N/A,N/A
"Genie Flamenco Laptop Backpack for Women, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College",https://www.amazon.in/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF1XJXY,₹719,4.4,"1,578",N/A,N/A,N/A,N/A
"TABELITO Casual Laptop Backpack 15.6-inch, 25 LTR Water Repellent",https://www.amazon.in/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y3L4PHK,₹549,4.2,405,N/A,N/A,N/A,N/A
American Tourister Ohio Polyester 65 Cms Wheel Travel Duffle Bag (Blue),https://www.amazon.in/American-Tourister-FJ9-01-002/dp/B07N19CXKM,"₹1,999",4.2,"1,263",N/A,N/A,N/A,N/A
Arctic Hunter Laptop Bag Expandable Backpack for 16 inch Lapotp 40L Travel Backpack Water-resistant Business School Backpack with USB Port for Men and Women,https://www.amazon.in/Expandable-Backpack-Water-resistant-Business-Charging/dp/B0B6FNB898,"₹3,514",4.4,77,N/A,N/A,N/A,N/A
Safari Polyester 24 Cms Travel Bag(KRYPTON17DFBLU_Blue),https://www.amazon.in/Safari-Polyester-Cms-Travel-KRYPTON17DFBLU_Blue/dp/B097L2RSF1,₹499,3.8,37,N/A,N/A,N/A,N/A
"HAMMONDS FLYCATCHER Genuine Leather Laptop Bag for Men - Office Bag, Sea Green - Fits Up to 14/15.6/16 Inch Laptop/MacBook - Laptop Messenger Bags/Leather Bag for Men with Adjustable Shoulder Strap",https://www.amazon.in/Hammonds-Flycatcher-Original-Messenger-Compartment/dp/B08G56N3HQ,"₹2,622",4.3,"4,945",N/A,N/A,N/A,N/A
"Skybags Unisex Polyester Solid Pattern Hustle Df 55 (Orange, Small)",https://www.amazon.in/SKYBAGS-Unisex-Luggage-Duffel-Bag-DFHUS55ONG/dp/B07F342RQD,"₹1,699",4.3,301,N/A,N/A,N/A,N/A
"FUR JADEN 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port Unisex Backpack",https://www.amazon.in/Fur-Jaden-Charging-Waterproof-BM36_BlackBlue/dp/B07MXL9KYG,₹499,3.9,"10,258",N/A,N/A,N/A,N/A
